sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
42.0,S3,213.625,59.125,160.0,58.25,1.3961716526225194,16 May 2022,0.5664527956003667,0.14352626296420207,718.0,109.5
42.0,S3,170.14285714285714,110.85714285714286,139.28571428571428,49.42857142857143,0.40632301902431855,18 Mar 2022,0.21098118962887644,0.0997229916897507,718.0,109.5
43.0,S8,124.0,27.333333333333332,86.66666666666667,17.0,1.5418858122858303,11 Apr 2022,0.6387665198237885,0.1772151898734177,944.0,125.5
43.0,S8,253.28571428571428,52.857142857142854,184.28571428571428,51.57142857142857,3.0391393349698546,16 May 2022,0.6546896873541764,0.15768854064642507,944.0,125.5
43.0,S8,172.71428571428572,107.85714285714286,141.57142857142858,48.142857142857146,0.4393585778417816,18 Mar 2022,0.23116089613034627,0.09909090909090906,944.0,125.5
44.0,BS13,135.0,36.0,94.33333333333333,23.333333333333332,1.5387228096282939,11 Apr 2022,0.5789473684210527,0.17732558139534887,3118.0,105.0
44.0,BS13,422.125,51.875,296.625,46.125,2.3580997869319247,16 May 2022,0.7811181434599156,0.1746086956521739,3118.0,105.0
44.0,BS13,200.0,88.0,158.0,41.0,0.7314285714285714,18 Mar 2022,0.3888888888888889,0.11731843575418995,3118.0,105.0
44.0,BS13,301.3333333333333,64.33333333333333,231.66666666666666,48.166666666666664,1.7532069793014602,27 May 2022,0.6481312670920694,0.13070669168230142,3118.0,105.0
45.0,BS18,111.66666666666667,67.33333333333333,88.66666666666667,34.333333333333336,0.5717079933514585,11 Apr 2022,0.24767225325884548,0.11480865224625623,1217.0,115.5
45.0,BS18,137.0,50.285714285714285,112.71428571428571,41.857142857142854,0.19668892200944918,16 May 2022,0.46300533943554545,0.09725400457665906,1217.0,115.5
45.0,BS18,151.28571428571428,114.85714285714286,125.85714285714286,50.0,0.2760331857982855,18 Mar 2022,0.1368760064412238,0.0917525773195876,1217.0,115.5
46.0,S4,88.0,47.0,74.5,20.5,0.6453384688924841,11 Apr 2022,0.3037037037037037,0.08307692307692308,686.0,111.5
46.0,S4,183.0,49.142857142857146,145.57142857142858,39.42857142857143,1.7629297548002136,16 May 2022,0.5766153846153846,0.11391304347826084,686.0,111.5
46.0,S4,153.4,108.0,127.4,47.6,0.3459402110741086,18 Mar 2022,0.1736801836266259,0.09259259259259259,686.0,111.5
46.0,S4,125.8,37.0,97.6,28.2,1.6029746616971294,27 May 2022,0.5454545454545454,0.12623097582811105,686.0,111.5
47.0,S8,143.0,37.0,106.66666666666667,22.333333333333332,1.4138966882811828,11 Apr 2022,0.5888888888888889,0.14552736982643522,550.0,117.5
47.0,S8,180.33333333333334,54.0,145.66666666666666,37.166666666666664,1.3847774928869583,16 May 2022,0.5391180654338549,0.10633946830265854,550.0,117.5
47.0,S8,167.8,106.0,138.2,50.0,0.44092065508988065,18 Mar 2022,0.2257121986851717,0.09673202614379092,550.0,117.5
47.0,S8,89.6,30.2,71.2,23.2,1.4745465354480698,27 May 2022,0.49582637729549245,0.11442786069651735,550.0,117.5
48.0,BS14,140.66666666666666,33.333333333333336,99.66666666666667,20.0,1.481695692222008,11 Apr 2022,0.6168582375478926,0.17059639389736472,1050.0,80.0
48.0,BS14,242.75,72.625,188.875,63.25,0.9885941326275839,16 May 2022,0.5394371779627428,0.12481899797277729,1050.0,80.0
48.0,BS14,190.5,93.25,153.5,45.5,0.6654105646281024,18 Mar 2022,0.34273127753303967,0.10755813953488372,1050.0,80.0
48.0,BS14,161.0,45.833333333333336,124.0,30.166666666666668,1.378289368918627,27 May 2022,0.5568090249798548,0.12982456140350876,1050.0,80.0
